,Violent Crime Rate,Property Crime Rate,Police Officers Per Capita,Average Income (Real Median HH income),Bachelors Degree or Higher,Unemployment Rate Oct 2022,State,Police Spending Per Capita,High Crime or low crime state,Unnamed: 9,Unnamed: 10,Reduced Dimension 1,Reduced Dimension 2
0,454,4274,418,56929,27,2.7,Alabama,289,High,,,1.7396092052489018,-1.3125918326409738
1,838,4521,604,81133,33,4.5,Alaska,553,High,,,1.0642007377178024,4.273378539120804
2,485,4455,507,70821,32,3.9,Arizona,408,High,,,0.7391160839595767,1.302077499795947
3,672,5227,456,50784,25,3.6,Arkansas,245,High,,,3.520780447438578,-0.323514602669245
4,442,4278,378,81575,36,4.0,California,564,High,,,-0.8982949722203432,1.7633660581846553
5,423,5668,417,84954,44,3.6,Colorado,401,High,,,-0.9902626523197491,0.9685001876065354
6,182,3130,407,80958,42,4.3,Connecticut,359,Low,,,-2.054134135094796,0.27288439883231425
7,432,3923,517,68687,36,4.3,Delaware,395,High,,,0.18963252231727637,1.4921762190894121
8,384,3539,440,59734,33,2.7,Florida,469,Low,,,0.0891494763962027,0.052336113120388474
9,400,4015,487,61497,35,2.9,Georgia,284,High,,,0.5974422982816197,-0.6121282253675684
10,254,4823,494,82199,35,3.4,Hawaii,373,High,,,-0.6361928280389451,0.3774268072116266
11,243,2224,379,76918,31,2.9,Idaho,294,Low,,,-1.0003613592056773,-1.632593920094281
12,426,3119,477,79253,37,4.6,Illinois,443,Low,,,-0.8425146400476122,1.867116524384248
13,358,3566,379,70190,29,3.0,Indiana,236,Low,,,0.5147658470777252,-1.7464019933386419
14,303,3396,308,72429,31,2.9,Iowa,287,Low,,,-0.24911802759198443,-1.9652896527871522
15,425,4398,467,75979,35,2.8,Kansas,360,High,,,-0.09289401759811831,-0.025155310112820416
16,259,3559,390,55629,27,3.9,Kentucky,181,Low,,,1.3883489482594935,-1.8903709194502005
17,639,5769,595,57206,26,3.3,Louisiana,325,High,,,3.1436331681797136,0.9629828851533172
18,109,2312,411,71139,36,3.6,Maine,241,Low,,,-1.3142220720634923,-1.518693896432038
19,400,3220,619,97332,43,4.5,Maryland,492,Low,,,-2.289283581476484,3.384887169831964
20,309,2106,440,86566,47,3.5,Massachusetts,346,Low,,,-2.8697436968814656,0.26842842719389
21,478,2722,360,64488,32,4.2,Michigan,290,Low,,,0.5401184333081525,-0.4370561493328122
22,277,4250,325,80441,39,2.1,Minnesota,423,High,,,-1.6368947250263415,-1.147468300340596
23,291,4203,488,46637,25,3.8,Mississippi,266,High,,,2.222995030933881,-0.822259499163091
24,543,5062,460,63594,32,2.6,Missouri,344,High,,,1.378183726751472,-0.25214014115319755
25,470,4242,435,64999,35,3.0,Montana,345,High,,,0.5204967984981979,-0.23891974249479986
26,334,3818,412,78109,34,2.4,Nebraska,298,Low,,,-0.543297084071869,-1.320526224243987
27,460,3853,410,64340,28,4.6,Nevada,474,High,,,0.9617769911743196,1.3227255815093755
28,146,2198,420,88841,40,2.4,New Hampshire,357,Low,,,-2.941429989388685,-1.0920891590493367
29,195,2316,532,88559,43,3.5,New Jersey,429,Low,,,-2.92140893036442,1.0747868589802916
30,778,5684,507,53463,30,4.3,New Mexico,361,High,,,3.2473332965594515,1.7284304475327983
31,364,2821,630,72920,40,4.4,New York,549,Low,,,-1.2626403708737408,3.2602419236104496
32,419,4453,438,62891,35,3.8,North Carolina,346,High,,,0.6698619885036764,0.21858464323078947
33,329,4248,393,68882,32,2.3,North Dakota,330,High,,,0.10779621106377885,-1.4510106280150195
34,309,3701,395,62689,31,4.2,Ohio,344,Low,,,0.4910923353069834,-0.21208170706584573
35,459,5411,410,60096,28,3.4,Oklahoma,288,High,,,2.029977049374558,-0.7177360392648361
36,292,5318,284,81855,36,4.1,Oregon,375,High,,,-0.5786338073331018,-0.29837987176472647
37,390,3288,463,72627,35,4.0,Pennsylvania,330,Low,,,-0.19585262747595925,0.3815549329296347
38,231,2491,412,74982,37,3.4,Rhode Island,468,Low,,,-1.7824808146400806,0.2522305724247263
39,531,5442,421,62542,32,3.3,South Carolina,277,High,,,1.7658410351587321,-0.4767988384845426
40,501,3913,449,73893,32,2.4,South Dakota,258,High,,,0.5295782369466409,-1.090331688699613
41,673,4986,439,62166,31,3.5,Tennessee,331,High,,,2.046751342998909,0.39293809136306
42,446,4490,479,67404,33,4.0,Texas,321,High,,,0.9008642672962927,0.5074591079342704
43,261,4929,299,87649,37,2.1,Utah,283,High,,,-1.2343189149900409,-2.2156870987288904
44,173,2434,322,76079,44,2.3,Vermont,341,Low,,,-2.6790189998691902,-1.8519248202194905
45,209,2913,597,80268,42,2.7,Virginia,313,Low,,,-1.9181833909230697,0.07999437028191389
46,294,5465,320,87648,39,3.8,Washington,330,High,,,-0.9731292055336355,-0.40607226304643534
47,356,2799,516,46836,24,4.0,West Virginia,254,Low,,,2.0810249409473265,-0.5708826468231729
48,323,2971,404,69943,33,3.3,Wisconsin,326,Low,,,-0.355760614413103,-0.7736724136888643
49,234,3221,501,71052,29,3.5,Wyoming,401,Low,,,-0.22029896225735632,0.19727022514976403
