,Violent Crime Rate,Property Crime Rate,Police Officers Per Capita,Average Income (Real Median HH income),Bachelors Degree or Higher,Unemployment Rate Oct 2022,State,Police Spending Per Capita,High Crime or low crime state,Unnamed: 9,Unnamed: 10,Reduced Dimension 1,Reduced Dimension 2
0,454,4274,418,56929,27,2.7,Alabama,289,High,,,-2.077363622050022,0.3629208176689777
1,838,4521,604,81133,33,4.5,Alaska,553,High,,,2.0877007149327533,-2.684084563150283
2,485,4455,507,70821,32,3.9,Arizona,408,High,,,0.2833502208050284,-1.2018648084034078
3,672,5227,456,50784,25,3.6,Arkansas,245,High,,,-2.655410888519072,-0.7903482191475288
4,442,4278,378,81575,36,4.0,California,564,High,,,2.0205935532853028,-0.4620743230573452
5,423,5668,417,84954,44,3.6,Colorado,401,High,,,2.072565344510569,0.6894948638082135
6,182,3130,407,80958,42,4.3,Connecticut,359,Low,,,1.497171083754762,0.11430456570496904
7,432,3923,517,68687,36,4.3,Delaware,395,High,,,0.6219565357077368,-1.440712060510166
8,384,3539,440,59734,33,2.7,Florida,469,Low,,,-0.13386089578861424,-0.1305933484324635
9,400,4015,487,61497,35,2.9,Georgia,284,High,,,-0.8378830202443383,0.19490469555921322
10,254,4823,494,82199,35,3.4,Hawaii,373,High,,,0.8714346271792245,-0.09790905740589936
11,243,2224,379,76918,31,2.9,Idaho,294,Low,,,-0.6138340897378666,1.1655674688119582
12,426,3119,477,79253,37,4.6,Illinois,443,Low,,,1.551185429789614,-1.2689921778327926
13,358,3566,379,70190,29,3.0,Indiana,236,Low,,,-1.5163671780879089,1.0307881986511893
14,303,3396,308,72429,31,2.9,Iowa,287,Low,,,-1.012279613730049,1.6018149802528823
15,425,4398,467,75979,35,2.8,Kansas,360,High,,,0.3183403316866232,0.5146760485065697
16,259,3559,390,55629,27,3.9,Kentucky,181,Low,,,-2.6416209691043955,-0.0984151586813832
17,639,5769,595,57206,26,3.3,Louisiana,325,High,,,-1.5345231837772402,-1.6496907740446112
18,109,2312,411,71139,36,3.6,Maine,241,Low,,,-0.5055601785615657,0.6079258532832178
19,400,3220,619,97332,43,4.5,Maryland,492,Low,,,3.6709583464823945,-1.6672269355316545
20,309,2106,440,86566,47,3.5,Massachusetts,346,Low,,,2.170879180340491,1.0011603974279801
21,478,2722,360,64488,32,4.2,Michigan,290,Low,,,-0.9698482938236991,-0.08814139805841187
22,277,4250,325,80441,39,2.1,Minnesota,423,High,,,0.9982506189590566,2.242134880305091
23,291,4203,488,46637,25,3.8,Mississippi,266,High,,,-2.648081826426661,-1.3896493265601992
24,543,5062,460,63594,32,2.6,Missouri,344,High,,,-0.7930672277090937,0.3391140229920661
25,470,4242,435,64999,35,3.0,Montana,345,High,,,-0.3583838847494697,0.3500001342993604
26,334,3818,412,78109,34,2.4,Nebraska,298,Low,,,-0.22936015871299495,1.5159958662245132
27,460,3853,410,64340,28,4.6,Nevada,474,High,,,-0.13138065784820818,-1.7052736418506578
28,146,2198,420,88841,40,2.4,New Hampshire,357,Low,,,1.3560447429677955,1.7941364346105693
29,195,2316,532,88559,43,3.5,New Jersey,429,Low,,,2.5040530188964296,-0.13593117696535598
30,778,5684,507,53463,30,4.3,New Mexico,361,High,,,-1.044697733646836,-1.915964072724461
31,364,2821,630,72920,40,4.4,New York,549,Low,,,2.437990423596594,-2.653995915896552
32,419,4453,438,62891,35,3.8,North Carolina,346,High,,,-0.3133298384146682,-0.4292992065209406
33,329,4248,393,68882,32,2.3,North Dakota,330,High,,,-0.7782908427259658,1.287679592122778
34,309,3701,395,62689,31,4.2,Ohio,344,Low,,,-0.7799105538323566,-0.6479077620096821
35,459,5411,410,60096,28,3.4,Oklahoma,288,High,,,-1.7008676041518551,-0.055838424763362454
36,292,5318,284,81855,36,4.1,Oregon,375,High,,,0.7303217881808072,0.876640237182426
37,390,3288,463,72627,35,4.0,Pennsylvania,330,Low,,,0.16837755524157058,-0.4757912679365783
38,231,2491,412,74982,37,3.4,Rhode Island,468,Low,,,1.1574683833414414,0.05411476358106383
39,531,5442,421,62542,32,3.3,South Carolina,277,High,,,-1.2016916195593481,0.24552790071505023
40,501,3913,449,73893,32,2.4,South Dakota,258,High,,,-0.8452725553709635,1.1907958819622166
41,673,4986,439,62166,31,3.5,Tennessee,331,High,,,-0.9330943580059599,-0.32618618710349
42,446,4490,479,67404,33,4.0,Texas,321,High,,,-0.34647592709612596,-0.7901249423070263
43,261,4929,299,87649,37,2.1,Utah,283,High,,,0.24617092715964023,3.061647088353536
44,173,2434,322,76079,44,2.3,Vermont,341,Low,,,0.8514721045729629,2.5279164121694517
45,209,2913,597,80268,42,2.7,Virginia,313,Low,,,1.2307453861986963,0.26286908261859376
46,294,5465,320,87648,39,3.8,Washington,330,High,,,1.0920317489291156,1.3367364195316285
47,356,2799,516,46836,24,4.0,West Virginia,254,Low,,,-2.7363446701856824,-1.768118344911223
48,323,2971,404,69943,33,3.3,Wisconsin,326,Low,,,-0.4416699738179261,0.4231728267113513
49,234,3221,501,71052,29,3.5,Wyoming,401,Low,,,-0.1585907008397213,-0.9179063392493877
