State,Population 2022,Prison Population 2022,% of Life Sentences 2022,Imprisonment Rate Per 100000 2022,Unemployment Rate Oct 2022,Crime Rate 2020,Violent Crime Rate,Property Crime Rate,Average Income (Real Median HH income),Police Spending 2020,Police Spending Per Capita,snapRecips2019,snapPerCapita2019,Number of Police Officers 2022,Police Officers Per Capita,Bachelors Degree or Higher,Education Spending,Welfare
Alabama,5073187,19608,24%,398,2.7,4727.065,453.558,4273.507,56929,1453284,,718792,0.1417,21224,418.3564,27.4,,
Alaska,738023,1794,0%,246,4.5,5358.896,837.849,4521.047,81133,405927,,73130,0.0991,4460,604.3172,32.8,,
Arizona,7303398,37101,4%,495,3.9,4940.118,484.814,4455.304,70821,2916902,,795313,0.1089,37041,507.1749,32.4,,
Arkansas,3030646,16052,7%,529,3.6,5898.753,671.93,5226.822,50784,736615,,350447,0.1156,13805,455.5134,25.3,,
California,39995077,97319,32%,247,4,4719.9,442.049,4277.852,81575,22281769,,4040646,0.101,151348,378.4166,36.2,,
Colorado,5922618,16168,15%,277,3.6,6090.756,423.058,5667.698,84954,2316578,,439390,0.0742,24684,416.7751,44.4,,
Connecticut,3612314,6359,1%,179,4.3,3311.746,181.585,3130.161,80958,1293359,,364659,0.1009,14695,406.803,42.1,,
Delaware,1008350,3118,13%,314,4.3,4354.642,431.897,3922.745,68687,390875,,121987,0.121,5217,517.3799,35.6,,
District of Columbia,707109,-,-,-,4.8,7985.932,999.837,6986.095,90640,681236,,NA,NA,NA,NA,63,,
Florida,22085563,81027,14%,371,2.7,3922.458,383.595,3538.862,59734,10100205,,2779312,0.1258,97131,439.7941,33.2,,
Georgia,10916760,46574,17%,433,2.9,4414.802,400.093,4014.709,61497,3042143,,1370779,0.1256,53190,487.2325,34.6,,
Hawaii,1474265,2740,11%,195,3.4,5076.88,254.157,4822.723,82199,543158,,155061,0.1052,7285,494.1445,35.3,,
Idaho,1893410,7343,8%,398,2.9,2466.346,242.595,2223.751,76918,540049,,142199,0.0751,7172,378.7875,30.7,,
Illinois,12808884,29729,4%,237,4.6,3544.667,425.914,3118.753,79253,5678179,,1778953,0.1389,61072,476.7941,37.1,,
Indiana,6845874,23774,1%,351,3,3924.039,357.678,3566.361,70190,1599637,,576112,0.0842,25975,379.4256,28.9,,
Iowa,3219171,8280,8%,262,2.9,3699.976,303.487,3396.489,72429,915310,,306940,0.0953,9914,307.9675,30.5,,
Kansas,2954832,8677,13%,298,2.8,4823.212,425.046,4398.167,75979,1058743,,198426,0.0672,13786,466.5578,35.4,,
Kentucky,4539130,18552,4%,414,3.9,3818.102,259.088,3559.014,55629,817745,,504584,0.1112,17716,390.2951,27,,
Louisiana,4682633,26964,15%,581,3.3,6408.216,639.44,5768.776,57206,1516039,,804561,0.1718,27862,595.0071,26.4,,
Maine,1369159,1619,3%,120,3.6,2420.932,108.581,2312.351,71139,328062,,156450,0.1143,5631,411.2744,36,,
Maryland,6257958,15602,15%,258,4.5,3619.488,399.864,3219.623,97332,3038980,,612751,0.0979,38761,619.3873,42.5,,
Massachusetts,7126375,6195,27%,103,3.5,2415.177,308.809,2106.367,86566,2432310,,764525,0.1073,31388,440.4483,46.6,,
Michigan,10116069,33617,13%,337,4.2,3199.772,478.009,2721.763,64488,2922202,,1143900,0.1131,36385,359.6753,31.7,,
Minnesota,5787008,8236,6%,145,2.1,4527.25,277.48,4249.77,80441,2414132,,398706,0.0689,18784,324.5891,38.9,,
