quote_date,item_id,p_mean,p_75,p_median,p_25,standard_deviation,p_90,p_10,date,dateStata,dateISO,obs,year,month,quarter,_merge,itemName,Time,symbol,symbol2
200502,620318,169.6429,200,185,99.99,68.11308,230,79.99,205,01/02/2005,01/02/2005,108851,2005,2,1,Matched (3),Adult Bike,2005-02-01,Mean,90th Percentile
200503,620318,164.7477,200,180,99.99,66.11563,230,69.99,206,01/03/2005,01/03/2005,109174,2005,3,1,Matched (3),Adult Bike,2005-03-01,Mean,90th Percentile
200504,620318,163.986,199.99,179.495,99.99,65.52982,230,69.99,207,01/04/2005,01/04/2005,112133,2005,4,2,Matched (3),Adult Bike,2005-04-01,Mean,90th Percentile
200505,620318,164.1409,199.99,182.5,119.99,55.10139,229,79.99,208,01/05/2005,01/05/2005,111815,2005,5,2,Matched (3),Adult Bike,2005-05-01,Mean,90th Percentile
200506,620318,171.5876,200,185,129.99,63.04376,233.95,79.99,209,01/06/2005,01/06/2005,114133,2005,6,2,Matched (3),Adult Bike,2005-06-01,Mean,90th Percentile
200507,620318,167.621,200,179.99,129.99,59.58691,230,79.99,210,01/07/2005,01/07/2005,112702,2005,7,3,Matched (3),Adult Bike,2005-07-01,Mean,90th Percentile
200508,620318,169.275,200,185,129.99,57.42341,230,69.99,211,01/08/2005,01/08/2005,111794,2005,8,3,Matched (3),Adult Bike,2005-08-01,Mean,90th Percentile
200509,620318,169.3414,200,185,129.99,57.35204,230,69.99,212,01/09/2005,01/09/2005,111426,2005,9,3,Matched (3),Adult Bike,2005-09-01,Mean,90th Percentile
200510,620318,171.2801,200,180,129.99,56.07785,230,79.99,213,01/10/2005,01/10/2005,108500,2005,10,4,Matched (3),Adult Bike,2005-10-01,Mean,90th Percentile
200511,620318,170.8779,200,179.99,129.99,56.02557,230,79.99,214,01/11/2005,01/11/2005,104534,2005,11,4,Matched (3),Adult Bike,2005-11-01,Mean,90th Percentile
200512,620318,170.5674,200,179.99,129.99,55.92509,230,79.99,215,01/12/2005,01/12/2005,109077,2005,12,4,Matched (3),Adult Bike,2005-12-01,Mean,90th Percentile
200601,620318,169.5303,200,179.99,129.99,57.00115,230,75,216,01/01/2006,01/01/2006,104610,2006,1,1,Matched (3),Adult Bike,2006-01-01,Mean,90th Percentile
