quote_date,item_id,p_mean,p_75,p_median,p_25,date,dateStata,dateISO,obs,year,month,quarter,_merge,itemName
199702,630425,13.23626,16.99,12.99,9.99,109,01/02/1997,01/02/1997,111216,1997,2,1,Matched (3),Non Fiction Harback
199702,630426,6.6081,6.99,6.99,5.99,109,01/02/1997,01/02/1997,111216,1997,2,1,Matched (3),Non Fiction Paperback
199703,630426,6.709691,6.99,6.99,6.29,110,01/03/1997,01/03/1997,110302,1997,3,1,Matched (3),Non Fiction Paperback
199703,630425,13.27607,16,12.99,9.99,110,01/03/1997,01/03/1997,110302,1997,3,1,Matched (3),Non Fiction Harback
199704,630426,6.836078,6.99,6.99,6.99,111,01/04/1997,01/04/1997,113726,1997,4,2,Matched (3),Non Fiction Paperback
199704,630425,13.73663,16,12.99,10.99,111,01/04/1997,01/04/1997,113726,1997,4,2,Matched (3),Non Fiction Harback
199705,630425,14.28158,16,13,10.99,112,01/05/1997,01/05/1997,116191,1997,5,2,Matched (3),Non Fiction Harback
199705,630426,6.687476,6.99,6.99,5.99,112,01/05/1997,01/05/1997,116191,1997,5,2,Matched (3),Non Fiction Paperback
199706,630425,14.24853,16.99,12.99,12,113,01/06/1997,01/06/1997,118238,1997,6,2,Matched (3),Non Fiction Harback
199706,630426,6.255094,6.99,6.49,4.99,113,01/06/1997,01/06/1997,118238,1997,6,2,Matched (3),Non Fiction Paperback
199707,630426,6.407304,6.99,6.99,4.99,114,01/07/1997,01/07/1997,117317,1997,7,3,Matched (3),Non Fiction Paperback
199707,630425,14.16712,16.99,12.99,11.995,114,01/07/1997,01/07/1997,117317,1997,7,3,Matched (3),Non Fiction Harback
199708,630425,14.47289,15,14.99,12,115,01/08/1997,01/08/1997,116676,1997,8,3,Matched (3),Non Fiction Harback
199708,630426,6.654322,6.99,6.99,5.99,115,01/08/1997,01/08/1997,116676,1997,8,3,Matched (3),Non Fiction Paperback
199709,630426,6.875246,6.99,6.99,6.99,116,01/09/1997,01/09/1997,117704,1997,9,3,Matched (3),Non Fiction Paperback
199709,630425,15.18838,17.5,15,12,116,01/09/1997,01/09/1997,117704,1997,9,3,Matched (3),Non Fiction Harback
199710,630425,15.36832,16.99,14.99,12.99,117,01/10/1997,01/10/1997,117099,1997,10,4,Matched (3),Non Fiction Harback
199710,630426,6.878889,6.99,6.99,6.99,117,01/10/1997,01/10/1997,117099,1997,10,4,Matched (3),Non Fiction Paperback
199711,630426,6.875246,6.99,6.99,6.99,118,01/11/1997,01/11/1997,117659,1997,11,4,Matched (3),Non Fiction Paperback
199711,630425,15.56917,16.99,15.99,12.99,118,01/11/1997,01/11/1997,117659,1997,11,4,Matched (3),Non Fiction Harback
199712,630426,6.805126,6.99,6.99,6.99,119,01/12/1997,01/12/1997,117241,1997,12,4,Matched (3),Non Fiction Paperback
199712,630425,15.42398,16.99,14.99,12.99,119,01/12/1997,01/12/1997,117241,1997,12,4,Matched (3),Non Fiction Harback
199801,630425,16.71525,18.99,16.99,14.99,120,01/01/1998,01/01/1998,115152,1998,1,1,Matched (3),Non Fiction Harback
199801,630426,6.788165,6.99,6.99,6.99,120,01/01/1998,01/01/1998,115152,1998,1,1,Matched (3),Non Fiction Paperback
199802,630426,6.561518,6.99,6.99,6.49,121,01/02/1998,01/02/1998,103493,1998,2,1,Matched (3),Non Fiction Paperback
199802,630425,16.64521,19.99,16.99,14.99,121,01/02/1998,01/02/1998,103493,1998,2,1,Matched (3),Non Fiction Harback
199803,630425,16.05097,16.99,15.99,14.99,122,01/03/1998,01/03/1998,105832,1998,3,1,Matched (3),Non Fiction Harback
199803,630426,6.75479,6.99,6.99,6.99,122,01/03/1998,01/03/1998,105832,1998,3,1,Matched (3),Non Fiction Paperback
199804,630425,14.90117,16.99,14.99,11.49,123,01/04/1998,01/04/1998,107681,1998,4,2,Matched (3),Non Fiction Harback
199804,630426,6.812742,7.99,6.99,6.99,123,01/04/1998,01/04/1998,107681,1998,4,2,Matched (3),Non Fiction Paperback
199805,630425,16.21365,16.99,16.49,14.99,124,01/05/1998,01/05/1998,109251,1998,5,2,Matched (3),Non Fiction Harback
199805,630426,6.913898,7.99,6.99,6.99,124,01/05/1998,01/05/1998,109251,1998,5,2,Matched (3),Non Fiction Paperback
199806,630425,15.74582,16.99,14.99,12.99,125,01/06/1998,01/06/1998,111444,1998,6,2,Matched (3),Non Fiction Harback
199806,630426,6.813305,7.99,6.99,5.99,125,01/06/1998,01/06/1998,111444,1998,6,2,Matched (3),Non Fiction Paperback
199807,630426,6.776967,7.99,6.99,5.99,126,01/07/1998,01/07/1998,109571,1998,7,3,Matched (3),Non Fiction Paperback
199807,630425,15.86026,16.99,16.99,12.99,126,01/07/1998,01/07/1998,109571,1998,7,3,Matched (3),Non Fiction Harback
199808,630426,6.839285,7.99,6.99,5.99,127,01/08/1998,01/08/1998,108215,1998,8,3,Matched (3),Non Fiction Paperback
199808,630425,16.86486,19.99,16.99,14.99,127,01/08/1998,01/08/1998,108215,1998,8,3,Matched (3),Non Fiction Harback
199809,630425,17.01636,17.99,16.99,14.99,128,01/09/1998,01/09/1998,109148,1998,9,3,Matched (3),Non Fiction Harback
199809,630426,6.836774,7.99,6.99,6.99,128,01/09/1998,01/09/1998,109148,1998,9,3,Matched (3),Non Fiction Paperback
199810,630426,6.817951,6.99,6.99,6.99,129,01/10/1998,01/10/1998,108530,1998,10,4,Matched (3),Non Fiction Paperback
199810,630425,16.58458,17.99,15.99,14.99,129,01/10/1998,01/10/1998,108530,1998,10,4,Matched (3),Non Fiction Harback
199811,630426,6.713154,6.99,6.99,5.99,130,01/11/1998,01/11/1998,110134,1998,11,4,Matched (3),Non Fiction Paperback
199811,630425,16.28008,18.99,16,14.99,130,01/11/1998,01/11/1998,110134,1998,11,4,Matched (3),Non Fiction Harback
199812,630426,6.610968,6.99,6.99,5.99,131,01/12/1998,01/12/1998,109954,1998,12,4,Matched (3),Non Fiction Paperback
199812,630425,15.56573,16.99,15.995,13.995,131,01/12/1998,01/12/1998,109954,1998,12,4,Matched (3),Non Fiction Harback
199901,630425,16.34561,18,16.99,14.99,132,01/01/1999,01/01/1999,76829,1999,1,1,Matched (3),Non Fiction Harback
199901,630426,7.304286,6.99,6.99,6.99,132,01/01/1999,01/01/1999,76829,1999,1,1,Matched (3),Non Fiction Paperback
199902,630426,6.917758,6.99,6.99,6.99,133,01/02/1999,01/02/1999,103893,1999,2,1,Matched (3),Non Fiction Paperback
199902,630425,16.65083,18.99,16.99,14.99,133,01/02/1999,01/02/1999,103893,1999,2,1,Matched (3),Non Fiction Harback
199903,630425,16.50357,18.99,16.99,14.99,134,01/03/1999,01/03/1999,106210,1999,3,1,Matched (3),Non Fiction Harback
199903,630426,7.091176,6.99,6.99,6.99,134,01/03/1999,01/03/1999,106210,1999,3,1,Matched (3),Non Fiction Paperback
199904,630425,15.67492,16.99,15.99,12.99,135,01/04/1999,01/04/1999,107934,1999,4,2,Matched (3),Non Fiction Harback
199904,630426,7.1904,7.99,6.99,6.99,135,01/04/1999,01/04/1999,107934,1999,4,2,Matched (3),Non Fiction Paperback
199905,630426,7.261811,7.99,6.99,6.99,136,01/05/1999,01/05/1999,109518,1999,5,2,Matched (3),Non Fiction Paperback
199905,630425,15.25576,16.99,14.99,12.99,136,01/05/1999,01/05/1999,109518,1999,5,2,Matched (3),Non Fiction Harback
199906,630426,7.35127,7.99,6.99,6.99,137,01/06/1999,01/06/1999,110967,1999,6,2,Matched (3),Non Fiction Paperback
199906,630425,15.37736,16.99,14.99,12.99,137,01/06/1999,01/06/1999,110967,1999,6,2,Matched (3),Non Fiction Harback
199907,630426,7.571463,8.99,6.99,6.99,138,01/07/1999,01/07/1999,109979,1999,7,3,Matched (3),Non Fiction Paperback
199907,630425,15.37135,16.99,14.99,12.99,138,01/07/1999,01/07/1999,109979,1999,7,3,Matched (3),Non Fiction Harback
199908,630425,14.8509,14.99,14.99,12.99,139,01/08/1999,01/08/1999,107986,1999,8,3,Matched (3),Non Fiction Harback
199908,630426,7.785126,9.99,6.99,6.99,139,01/08/1999,01/08/1999,107986,1999,8,3,Matched (3),Non Fiction Paperback
199909,630425,14.49422,14.99,14.99,12.99,140,01/09/1999,01/09/1999,108310,1999,9,3,Matched (3),Non Fiction Harback
199909,630426,7.843813,9.99,6.99,6.99,140,01/09/1999,01/09/1999,108310,1999,9,3,Matched (3),Non Fiction Paperback
199910,630426,7.73175,9.49,6.99,6.99,141,01/10/1999,01/10/1999,108626,1999,10,4,Matched (3),Non Fiction Paperback
199910,630425,14.90414,16.99,13.99,12.99,141,01/10/1999,01/10/1999,108626,1999,10,4,Matched (3),Non Fiction Harback
199911,630425,14.6378,15.99,13.99,12.99,142,01/11/1999,01/11/1999,108959,1999,11,4,Matched (3),Non Fiction Harback
199911,630426,7.54,7.99,6.99,6.99,142,01/11/1999,01/11/1999,108959,1999,11,4,Matched (3),Non Fiction Paperback
199912,630425,14.29769,14.99,13.99,12.99,143,01/12/1999,01/12/1999,110478,1999,12,4,Matched (3),Non Fiction Harback
199912,630426,7.529062,7.99,6.99,6.99,143,01/12/1999,01/12/1999,110478,1999,12,4,Matched (3),Non Fiction Paperback
200001,630425,15.21448,17.99,13.99,12.99,144,01/01/2000,01/01/2000,105846,2000,1,1,Matched (3),Non Fiction Harback
200001,630426,7.516515,7.99,6.99,6.99,144,01/01/2000,01/01/2000,105846,2000,1,1,Matched (3),Non Fiction Paperback
200002,630425,15.22585,17.99,14.99,12.99,145,01/02/2000,01/02/2000,99732,2000,2,1,Matched (3),Non Fiction Harback
200002,630426,7.722558,7.99,6.99,6.99,145,01/02/2000,01/02/2000,99732,2000,2,1,Matched (3),Non Fiction Paperback
200003,630426,7.606356,7.99,6.99,6.99,146,01/03/2000,01/03/2000,103687,2000,3,1,Matched (3),Non Fiction Paperback
200003,630425,15.30364,17.99,14.99,12.99,146,01/03/2000,01/03/2000,103687,2000,3,1,Matched (3),Non Fiction Harback
200004,630426,7.497862,7.99,6.99,6.99,147,01/04/2000,01/04/2000,106130,2000,4,2,Matched (3),Non Fiction Paperback
200004,630425,15.39913,17.99,16.99,12.99,147,01/04/2000,01/04/2000,106130,2000,4,2,Matched (3),Non Fiction Harback
200005,630426,7.655349,7.99,6.99,6.99,148,01/05/2000,01/05/2000,107453,2000,5,2,Matched (3),Non Fiction Paperback
200005,630425,15.42542,17.99,16.99,12.99,148,01/05/2000,01/05/2000,107453,2000,5,2,Matched (3),Non Fiction Harback
200006,630425,15.26817,17.99,16.99,12.99,149,01/06/2000,01/06/2000,106540,2000,6,2,Matched (3),Non Fiction Harback
200006,630426,7.505238,7.99,6.99,6.99,149,01/06/2000,01/06/2000,106540,2000,6,2,Matched (3),Non Fiction Paperback
200007,630426,7.91,7.99,7.99,6.99,150,01/07/2000,01/07/2000,107334,2000,7,3,Matched (3),Non Fiction Paperback
200007,630425,14.45922,16.99,14.99,12.99,150,01/07/2000,01/07/2000,107334,2000,7,3,Matched (3),Non Fiction Harback
200008,630425,14.3162,16.99,12.99,12.99,151,01/08/2000,01/08/2000,104159,2000,8,3,Matched (3),Non Fiction Harback
200008,630426,7.270991,7.99,6.99,6.99,151,01/08/2000,01/08/2000,104159,2000,8,3,Matched (3),Non Fiction Paperback
200009,630426,7.03065,7.99,6.99,5.99,152,01/09/2000,01/09/2000,104363,2000,9,3,Matched (3),Non Fiction Paperback
200009,630425,14.29921,16.99,12.99,12.99,152,01/09/2000,01/09/2000,104363,2000,9,3,Matched (3),Non Fiction Harback
200010,630425,14.26622,16.99,12.99,12.99,153,01/10/2000,01/10/2000,105335,2000,10,4,Matched (3),Non Fiction Harback
200010,630426,6.618788,7.99,6.99,5.99,153,01/10/2000,01/10/2000,105335,2000,10,4,Matched (3),Non Fiction Paperback
200011,630426,6.325736,7.99,6.3,4.99,154,01/11/2000,01/11/2000,105762,2000,11,4,Matched (3),Non Fiction Paperback
200011,630425,14.52106,16.99,12.99,12.99,154,01/11/2000,01/11/2000,105762,2000,11,4,Matched (3),Non Fiction Harback
200012,630425,14.97614,16.99,12.99,12.99,155,01/12/2000,01/12/2000,106142,2000,12,4,Matched (3),Non Fiction Harback
200012,630426,6.271482,6.99,6.99,4.99,155,01/12/2000,01/12/2000,106142,2000,12,4,Matched (3),Non Fiction Paperback
200101,630426,6.576466,6.99,6.99,4.99,156,01/01/2001,01/01/2001,102504,2001,1,1,Matched (3),Non Fiction Paperback
200101,630425,16.05873,16.99,16.99,12.99,156,01/01/2001,01/01/2001,102504,2001,1,1,Matched (3),Non Fiction Harback
