quote_date,item_id,p_mean,p_75,p_median,p_25,standard_deviation,p_90,p_10,date,dateStata,dateISO,obs,year,month,quarter,_merge,itemName,Time
201801,620318,352.8732,450,349.99,159.99,294.0385,594,109.99,360,01/01/2018,01/01/2018,116458,2018,1,1,Matched (3),Adult Bike,2018-01-01
201802,620318,380.6291,475,350,190,321.3421,599,109.99,361,01/02/2018,01/02/2018,122581,2018,2,1,Matched (3),Adult Bike,2018-02-01
201803,620318,386.0616,475,369,190,316.1002,599.99,109.99,362,01/03/2018,01/03/2018,125211,2018,3,1,Matched (3),Adult Bike,2018-03-01
201804,620318,379.8173,475,369,184,306.5516,599.99,137.95,363,01/04/2018,01/04/2018,126219,2018,4,2,Matched (3),Adult Bike,2018-04-01
201805,620318,385.1694,475,369,184,312.6665,600,129.99,364,01/05/2018,01/05/2018,126941,2018,5,2,Matched (3),Adult Bike,2018-05-01
201806,620318,385.4372,475,369,184,318.2151,600,129,365,01/06/2018,01/06/2018,126695,2018,6,2,Matched (3),Adult Bike,2018-06-01
201807,620318,384.7162,475,375,161,305.6682,600,134.99,366,01/07/2018,01/07/2018,124520,2018,7,3,Matched (3),Adult Bike,2018-07-01
201808,620318,379.3532,475,354.6,161,294.7926,650,139.99,367,01/08/2018,01/08/2018,124079,2018,8,3,Matched (3),Adult Bike,2018-08-01
201809,620318,371.9095,475,350,170,291.3835,625,139.99,368,01/09/2018,01/09/2018,124265,2018,9,3,Matched (3),Adult Bike,2018-09-01
201810,620318,368.6644,475,350,170,282.8819,600,139.99,369,01/10/2018,01/10/2018,124191,2018,10,4,Matched (3),Adult Bike,2018-10-01
201811,620318,348.7292,475,349.99,150,213.6107,600,134.99,370,01/11/2018,01/11/2018,123289,2018,11,4,Matched (3),Adult Bike,2018-11-01
201812,620318,356.0888,475,349.995,150,229.826,599.99,139.99,371,01/12/2018,01/12/2018,125381,2018,12,4,Matched (3),Adult Bike,2018-12-01
201901,620318,371.2071,475,355,150,337.2179,599.99,139.99,372,01/01/2019,01/01/2019,125531,2019,1,1,Matched (3),Adult Bike,2019-01-01
201902,620318,381.3026,475,349.99,184.99,340.29,649.99,139.99,373,01/02/2019,01/02/2019,124018,2019,2,1,Matched (3),Adult Bike,2019-02-01
201903,620318,391.6346,475,365,199,379.983,650,139.99,374,01/03/2019,01/03/2019,127885,2019,3,1,Matched (3),Adult Bike,2019-03-01
201904,620318,406.3257,499.99,374.99,189.99,388.073,699,139.99,375,01/04/2019,01/04/2019,128853,2019,4,2,Matched (3),Adult Bike,2019-04-01
201905,620318,407.6344,500,375,184.99,388.2387,699,139.99,376,01/05/2019,01/05/2019,128682,2019,5,2,Matched (3),Adult Bike,2019-05-01
201906,620318,397.7719,499,365,199,381.4041,675,129.99,377,01/06/2019,01/06/2019,129075,2019,6,2,Matched (3),Adult Bike,2019-06-01
201907,620318,372.1161,475,357.495,168,242.5764,649.99,139.99,378,01/07/2019,01/07/2019,128486,2019,7,3,Matched (3),Adult Bike,2019-07-01
201908,620318,376.3218,475,349.99,168,312.3683,680,139.99,379,01/08/2019,01/08/2019,127479,2019,8,3,Matched (3),Adult Bike,2019-08-01
