quote_date,item_id,p_mean,p_75,p_median,p_25,date,dateStata,dateISO,obs,year,month,quarter,_merge,itemName,Time,
201102,630435,11.6701,13.99,10,9.49,277,01/02/2011,01/02/2011,107243,2011,2,1,Matched (3),Fiction Hardback,2011-02-01,
201103,630435,10.66355,12.99,9.5,8,278,01/03/2011,01/03/2011,111703,2011,3,1,Matched (3),Fiction Hardback,2011-03-01,
201104,630435,12.25551,13.99,12.99,9,279,01/04/2011,01/04/2011,110135,2011,4,2,Matched (3),Fiction Hardback,2011-04-01,
201105,630435,12.57428,13.99,12.99,9.49,280,01/05/2011,01/05/2011,110905,2011,5,2,Matched (3),Fiction Hardback,2011-05-01,
201106,630435,11.53654,13.99,10,9.49,281,01/06/2011,01/06/2011,110923,2011,6,2,Matched (3),Fiction Hardback,2011-06-01,
201107,630435,12.59969,13.99,13.99,9.5,282,01/07/2011,01/07/2011,110938,2011,7,3,Matched (3),Fiction Hardback,2011-07-01,
201108,630435,11.42722,12.99,10.5,9.5,283,01/08/2011,01/08/2011,111624,2011,8,3,Matched (3),Fiction Hardback,2011-08-01,
201109,630435,11.54877,12.99,10.99,9.99,284,01/09/2011,01/09/2011,112468,2011,9,3,Matched (3),Fiction Hardback,2011-09-01,
201110,630435,12.39151,13.99,12.99,9.49,285,01/10/2011,01/10/2011,112689,2011,10,4,Matched (3),Fiction Hardback,2011-10-01,
201111,630435,11.23172,12.99,10,9.49,286,01/11/2011,01/11/2011,112558,2011,11,4,Matched (3),Fiction Hardback,2011-11-01,
201112,630435,11.41163,13.99,10,9.49,287,01/12/2011,01/12/2011,113770,2011,12,4,Matched (3),Fiction Hardback,2011-12-01,
201201,630435,9.982627,10,9.5,9,288,01/01/2012,01/01/2012,112915,2012,1,1,Matched (3),Fiction Hardback,2012-01-01,
201202,630435,11.48636,13.99,10,9,289,01/02/2012,01/02/2012,109908,2012,2,1,Matched (3),Fiction Hardback,2012-02-01,
201203,630435,11.10429,12.99,9.5,9.49,290,01/03/2012,01/03/2012,112591,2012,3,1,Matched (3),Fiction Hardback,2012-03-01,
201204,630435,11.41782,13.99,9.5,8.46,291,01/04/2012,01/04/2012,111722,2012,4,2,Matched (3),Fiction Hardback,2012-04-01,
201205,630435,11.86734,13.99,11.99,8.46,292,01/05/2012,01/05/2012,112977,2012,5,2,Matched (3),Fiction Hardback,2012-05-01,
201206,630435,11.41996,15,9.99,8.86,293,01/06/2012,01/06/2012,113464,2012,6,2,Matched (3),Fiction Hardback,2012-06-01,
201207,630435,11.4392,14.99,9.99,8.46,294,01/07/2012,01/07/2012,112979,2012,7,3,Matched (3),Fiction Hardback,2012-07-01,
201208,630435,11.89729,14.99,11.89,8.86,295,01/08/2012,01/08/2012,113779,2012,8,3,Matched (3),Fiction Hardback,2012-08-01,
201209,630435,12.33133,14.99,12.99,8.86,296,01/09/2012,01/09/2012,113529,2012,9,3,Matched (3),Fiction Hardback,2012-09-01,
201210,630435,12.27588,14.99,13,9,297,01/10/2012,01/10/2012,113193,2012,10,4,Matched (3),Fiction Hardback,2012-10-01,
201211,630435,11.05548,13,10,8.86,298,01/11/2012,01/11/2012,112322,2012,11,4,Matched (3),Fiction Hardback,2012-11-01,
201212,630435,11.42538,13.99,9.99,9,299,01/12/2012,01/12/2012,112522,2012,12,4,Matched (3),Fiction Hardback,2012-12-01,
201301,630435,11.51389,15,9.99,9,300,01/01/2013,01/01/2013,112470,2013,1,1,Matched (3),Fiction Hardback,2013-01-01,
201302,630435,11.72816,15.99,9.99,8.8,301,01/02/2013,01/02/2013,108915,2013,2,1,Matched (3),Fiction Hardback,2013-02-01,
201303,630435,12.0336,15,9.99,8.8,302,01/03/2013,01/03/2013,112073,2013,3,1,Matched (3),Fiction Hardback,2013-03-01,
201304,630435,12.10701,14.99,12.15,9,303,01/04/2013,01/04/2013,111932,2013,4,2,Matched (3),Fiction Hardback,2013-04-01,
201305,630435,13.05145,15.99,13.99,9.49,304,01/05/2013,01/05/2013,112460,2013,5,2,Matched (3),Fiction Hardback,2013-05-01,
201306,630435,11.30704,13.99,9.99,9,305,01/06/2013,01/06/2013,113182,2013,6,2,Matched (3),Fiction Hardback,2013-06-01,
201307,630435,11.05221,12.99,10,9,306,01/07/2013,01/07/2013,110722,2013,7,3,Matched (3),Fiction Hardback,2013-07-01,
201308,630435,11.12807,13.99,9.99,9,307,01/08/2013,01/08/2013,111818,2013,8,3,Matched (3),Fiction Hardback,2013-08-01,
201309,630435,11.60996,14.99,10,9,308,01/09/2013,01/09/2013,111942,2013,9,3,Matched (3),Fiction Hardback,2013-09-01,
201310,630435,11.97033,15,10.99,9,309,01/10/2013,01/10/2013,112357,2013,10,4,Matched (3),Fiction Hardback,2013-10-01,
201311,630435,12.14515,15,10,9,310,01/11/2013,01/11/2013,111887,2013,11,4,Matched (3),Fiction Hardback,2013-11-01,
201312,630435,11.39527,13.99,9.99,9,311,01/12/2013,01/12/2013,112786,2013,12,4,Matched (3),Fiction Hardback,2013-12-01,
201401,630435,11.55498,14.99,9.99,9,312,01/01/2014,01/01/2014,113219,2014,1,1,Matched (3),Fiction Hardback,2014-01-01,
201402,630435,12.25068,14.99,12.99,9,313,01/02/2014,01/02/2014,108434,2014,2,1,Matched (3),Fiction Hardback,2014-02-01,
201403,630435,10.56743,12.99,9.99,8.49,314,01/03/2014,01/03/2014,111378,2014,3,1,Matched (3),Fiction Hardback,2014-03-01,
201404,630435,11.29417,13.29,10.34,9.99,315,01/04/2014,01/04/2014,110845,2014,4,2,Matched (3),Fiction Hardback,2014-04-01,
201405,630435,11.9328,13.99,10.99,9.99,316,01/05/2014,01/05/2014,111915,2014,5,2,Matched (3),Fiction Hardback,2014-05-01,
