quote_date,item_id,p_mean,p_75,p_median,p_25,date,dateStata,dateISO,obs,year,month,quarter,_merge,itemName
199702,630425,13.23626,16.99,12.99,9.99,109,01/02/1997,01/02/1997,111216,1997,2,1,Matched (3),Non Fiction Harback
199703,630425,13.27607,16,12.99,9.99,110,01/03/1997,01/03/1997,110302,1997,3,1,Matched (3),Non Fiction Harback
199704,630425,13.73663,16,12.99,10.99,111,01/04/1997,01/04/1997,113726,1997,4,2,Matched (3),Non Fiction Harback
199705,630425,14.28158,16,13,10.99,112,01/05/1997,01/05/1997,116191,1997,5,2,Matched (3),Non Fiction Harback
199706,630425,14.24853,16.99,12.99,12,113,01/06/1997,01/06/1997,118238,1997,6,2,Matched (3),Non Fiction Harback
199707,630425,14.16712,16.99,12.99,11.995,114,01/07/1997,01/07/1997,117317,1997,7,3,Matched (3),Non Fiction Harback
199708,630425,14.47289,15,14.99,12,115,01/08/1997,01/08/1997,116676,1997,8,3,Matched (3),Non Fiction Harback
199709,630425,15.18838,17.5,15,12,116,01/09/1997,01/09/1997,117704,1997,9,3,Matched (3),Non Fiction Harback
199710,630425,15.36832,16.99,14.99,12.99,117,01/10/1997,01/10/1997,117099,1997,10,4,Matched (3),Non Fiction Harback
199711,630425,15.56917,16.99,15.99,12.99,118,01/11/1997,01/11/1997,117659,1997,11,4,Matched (3),Non Fiction Harback
199712,630425,15.42398,16.99,14.99,12.99,119,01/12/1997,01/12/1997,117241,1997,12,4,Matched (3),Non Fiction Harback
199801,630425,16.71525,18.99,16.99,14.99,120,01/01/1998,01/01/1998,115152,1998,1,1,Matched (3),Non Fiction Harback
199802,630425,16.64521,19.99,16.99,14.99,121,01/02/1998,01/02/1998,103493,1998,2,1,Matched (3),Non Fiction Harback
199803,630425,16.05097,16.99,15.99,14.99,122,01/03/1998,01/03/1998,105832,1998,3,1,Matched (3),Non Fiction Harback
199804,630425,14.90117,16.99,14.99,11.49,123,01/04/1998,01/04/1998,107681,1998,4,2,Matched (3),Non Fiction Harback
199805,630425,16.21365,16.99,16.49,14.99,124,01/05/1998,01/05/1998,109251,1998,5,2,Matched (3),Non Fiction Harback
199806,630425,15.74582,16.99,14.99,12.99,125,01/06/1998,01/06/1998,111444,1998,6,2,Matched (3),Non Fiction Harback
199807,630425,15.86026,16.99,16.99,12.99,126,01/07/1998,01/07/1998,109571,1998,7,3,Matched (3),Non Fiction Harback
199808,630425,16.86486,19.99,16.99,14.99,127,01/08/1998,01/08/1998,108215,1998,8,3,Matched (3),Non Fiction Harback
199809,630425,17.01636,17.99,16.99,14.99,128,01/09/1998,01/09/1998,109148,1998,9,3,Matched (3),Non Fiction Harback
199810,630425,16.58458,17.99,15.99,14.99,129,01/10/1998,01/10/1998,108530,1998,10,4,Matched (3),Non Fiction Harback
199811,630425,16.28008,18.99,16,14.99,130,01/11/1998,01/11/1998,110134,1998,11,4,Matched (3),Non Fiction Harback
199812,630425,15.56573,16.99,15.995,13.995,131,01/12/1998,01/12/1998,109954,1998,12,4,Matched (3),Non Fiction Harback
199901,630425,16.34561,18,16.99,14.99,132,01/01/1999,01/01/1999,76829,1999,1,1,Matched (3),Non Fiction Harback
199902,630425,16.65083,18.99,16.99,14.99,133,01/02/1999,01/02/1999,103893,1999,2,1,Matched (3),Non Fiction Harback
199903,630425,16.50357,18.99,16.99,14.99,134,01/03/1999,01/03/1999,106210,1999,3,1,Matched (3),Non Fiction Harback
199904,630425,15.67492,16.99,15.99,12.99,135,01/04/1999,01/04/1999,107934,1999,4,2,Matched (3),Non Fiction Harback
199905,630425,15.25576,16.99,14.99,12.99,136,01/05/1999,01/05/1999,109518,1999,5,2,Matched (3),Non Fiction Harback
199906,630425,15.37736,16.99,14.99,12.99,137,01/06/1999,01/06/1999,110967,1999,6,2,Matched (3),Non Fiction Harback
199907,630425,15.37135,16.99,14.99,12.99,138,01/07/1999,01/07/1999,109979,1999,7,3,Matched (3),Non Fiction Harback
199908,630425,14.8509,14.99,14.99,12.99,139,01/08/1999,01/08/1999,107986,1999,8,3,Matched (3),Non Fiction Harback
199909,630425,14.49422,14.99,14.99,12.99,140,01/09/1999,01/09/1999,108310,1999,9,3,Matched (3),Non Fiction Harback
199910,630425,14.90414,16.99,13.99,12.99,141,01/10/1999,01/10/1999,108626,1999,10,4,Matched (3),Non Fiction Harback
199911,630425,14.6378,15.99,13.99,12.99,142,01/11/1999,01/11/1999,108959,1999,11,4,Matched (3),Non Fiction Harback
199912,630425,14.29769,14.99,13.99,12.99,143,01/12/1999,01/12/1999,110478,1999,12,4,Matched (3),Non Fiction Harback
200001,630425,15.21448,17.99,13.99,12.99,144,01/01/2000,01/01/2000,105846,2000,1,1,Matched (3),Non Fiction Harback
200002,630425,15.22585,17.99,14.99,12.99,145,01/02/2000,01/02/2000,99732,2000,2,1,Matched (3),Non Fiction Harback
200003,630425,15.30364,17.99,14.99,12.99,146,01/03/2000,01/03/2000,103687,2000,3,1,Matched (3),Non Fiction Harback
200004,630425,15.39913,17.99,16.99,12.99,147,01/04/2000,01/04/2000,106130,2000,4,2,Matched (3),Non Fiction Harback
200005,630425,15.42542,17.99,16.99,12.99,148,01/05/2000,01/05/2000,107453,2000,5,2,Matched (3),Non Fiction Harback
200006,630425,15.26817,17.99,16.99,12.99,149,01/06/2000,01/06/2000,106540,2000,6,2,Matched (3),Non Fiction Harback
200007,630425,14.45922,16.99,14.99,12.99,150,01/07/2000,01/07/2000,107334,2000,7,3,Matched (3),Non Fiction Harback
200008,630425,14.3162,16.99,12.99,12.99,151,01/08/2000,01/08/2000,104159,2000,8,3,Matched (3),Non Fiction Harback
200009,630425,14.29921,16.99,12.99,12.99,152,01/09/2000,01/09/2000,104363,2000,9,3,Matched (3),Non Fiction Harback
200010,630425,14.26622,16.99,12.99,12.99,153,01/10/2000,01/10/2000,105335,2000,10,4,Matched (3),Non Fiction Harback
200011,630425,14.52106,16.99,12.99,12.99,154,01/11/2000,01/11/2000,105762,2000,11,4,Matched (3),Non Fiction Harback
200012,630425,14.97614,16.99,12.99,12.99,155,01/12/2000,01/12/2000,106142,2000,12,4,Matched (3),Non Fiction Harback
200101,630425,16.05873,16.99,16.99,12.99,156,01/01/2001,01/01/2001,102504,2001,1,1,Matched (3),Non Fiction Harback
200102,630425,16.62762,16.99,16,12.99,157,01/02/2001,01/02/2001,104038,2001,2,1,Matched (3),Non Fiction Harback
200103,630425,14.89008,16.99,14.99,12.99,158,01/03/2001,01/03/2001,104696,2001,3,1,Matched (3),Non Fiction Harback
200104,630425,14.46595,16.99,14.99,11.99,159,01/04/2001,01/04/2001,105771,2001,4,2,Matched (3),Non Fiction Harback
200105,630425,13.99935,16.99,12.99,9.99,160,01/05/2001,01/05/2001,108055,2001,5,2,Matched (3),Non Fiction Harback
200106,630425,13.69733,14.99,12.99,12.99,161,01/06/2001,01/06/2001,109596,2001,6,2,Matched (3),Non Fiction Harback
200107,630425,13.74066,14.99,12.99,12.99,162,01/07/2001,01/07/2001,108549,2001,7,3,Matched (3),Non Fiction Harback
200108,630425,13.64097,12.99,12.99,12.99,163,01/08/2001,01/08/2001,106934,2001,8,3,Matched (3),Non Fiction Harback
200109,630425,13.49232,12.99,12.99,12.99,164,01/09/2001,01/09/2001,105656,2001,9,3,Matched (3),Non Fiction Harback
200110,630425,13.64973,13.99,12.99,12.99,165,01/10/2001,01/10/2001,106902,2001,10,4,Matched (3),Non Fiction Harback
200111,630425,14.17476,14.99,12.99,12.99,166,01/11/2001,01/11/2001,107581,2001,11,4,Matched (3),Non Fiction Harback
200112,630425,13.772,13.99,12.99,12.99,167,01/12/2001,01/12/2001,106644,2001,12,4,Matched (3),Non Fiction Harback
200201,630425,14.33809,15.99,12.99,12.99,168,01/01/2002,01/01/2002,104308,2002,1,1,Matched (3),Non Fiction Harback
200202,630425,15.02867,17.99,12.99,12.99,169,01/02/2002,01/02/2002,102172,2002,2,1,Matched (3),Non Fiction Harback
200203,630425,15.25394,17.99,13.99,12.99,170,01/03/2002,01/03/2002,104671,2002,3,1,Matched (3),Non Fiction Harback
200204,630425,14.83906,17.99,12.99,12.99,171,01/04/2002,01/04/2002,104217,2002,4,2,Matched (3),Non Fiction Harback
200205,630425,15.73257,17.99,14.99,14.99,172,01/05/2002,01/05/2002,106651,2002,5,2,Matched (3),Non Fiction Harback
200206,630425,16.42663,17.99,16.99,14.99,173,01/06/2002,01/06/2002,106955,2002,6,2,Matched (3),Non Fiction Harback
200207,630425,16.4725,17.99,16.99,14.99,174,01/07/2002,01/07/2002,106605,2002,7,3,Matched (3),Non Fiction Harback
200208,630425,16.31053,17.99,14.99,13.99,175,01/08/2002,01/08/2002,104997,2002,8,3,Matched (3),Non Fiction Harback
200209,630425,16.47913,17.99,16.99,13.99,176,01/09/2002,01/09/2002,103963,2002,9,3,Matched (3),Non Fiction Harback
200210,630425,15.78305,18.99,14.99,12.99,177,01/10/2002,01/10/2002,105493,2002,10,4,Matched (3),Non Fiction Harback
200211,630425,14.87811,15.99,13.99,12.99,178,01/11/2002,01/11/2002,106130,2002,11,4,Matched (3),Non Fiction Harback
200212,630425,14.38991,15,13.99,12.99,179,01/12/2002,01/12/2002,106032,2002,12,4,Matched (3),Non Fiction Harback
200301,630425,15.60955,18,15,12.99,180,01/01/2003,01/01/2003,103660,2003,1,1,Matched (3),Non Fiction Harback
200302,630425,15.54544,17.99,14.99,12.99,181,01/02/2003,01/02/2003,106569,2003,2,1,Matched (3),Non Fiction Harback
200303,630425,16.16861,19.99,15,14.99,182,01/03/2003,01/03/2003,107246,2003,3,1,Matched (3),Non Fiction Harback
200304,630425,15.59887,18.99,15,14.99,183,01/04/2003,01/04/2003,96279,2003,4,2,Matched (3),Non Fiction Harback
200305,630425,15.79568,20,15,12.99,184,01/05/2003,01/05/2003,99396,2003,5,2,Matched (3),Non Fiction Harback
