quote_date,item_id,p_mean,p_75,p_median,p_25,standard_deviation,p_90,p_10,date,dateStata,dateISO,obs,year,month,quarter,_merge,itemName,Time
201101,620318,257.9493,329.495,259.99,159.99,113.379,380,114.99,276,01/01/2011,01/01/2011,107592,2011,1,1,Matched (3),Adult Bike,2011-01-01
201102,620318,274.2929,339.99,296.99,199,116.3308,399.99,99.99,277,01/02/2011,01/02/2011,107243,2011,2,1,Matched (3),Adult Bike,2011-02-01
201103,620318,273.7877,339.99,270.995,179.99,120.6142,400,149.99,278,01/03/2011,01/03/2011,111703,2011,3,1,Matched (3),Adult Bike,2011-03-01
201104,620318,271.345,339.99,269.99,179.99,119.4319,399.99,149.99,279,01/04/2011,01/04/2011,110135,2011,4,2,Matched (3),Adult Bike,2011-04-01
201105,620318,275.6036,339.99,269.99,195.74,118.8623,400,149.99,280,01/05/2011,01/05/2011,110905,2011,5,2,Matched (3),Adult Bike,2011-05-01
201106,620318,270.5272,339.99,269,159.99,128.3022,419.99,129.99,281,01/06/2011,01/06/2011,110923,2011,6,2,Matched (3),Adult Bike,2011-06-01
201107,620318,265.8864,339.99,269.99,172.5,119.6899,399.995,124.995,282,01/07/2011,01/07/2011,110938,2011,7,3,Matched (3),Adult Bike,2011-07-01
201108,620318,259.8292,339.99,269.99,149.99,119.1113,399.99,119.99,283,01/08/2011,01/08/2011,111624,2011,8,3,Matched (3),Adult Bike,2011-08-01
201109,620318,267.8362,350,279.99,149.99,123.5223,399,119.99,284,01/09/2011,01/09/2011,112468,2011,9,3,Matched (3),Adult Bike,2011-09-01
201110,620318,254.0805,329.99,259.9899,159.99,114.0525,385,99.99,285,01/10/2011,01/10/2011,112689,2011,10,4,Matched (3),Adult Bike,2011-10-01
201111,620318,272.9715,349.99,272.5,154.995,162.887,400,129.99,286,01/11/2011,01/11/2011,112558,2011,11,4,Matched (3),Adult Bike,2011-11-01
201112,620318,270.3674,349.99,270,150,163.2894,400,99.99,287,01/12/2011,01/12/2011,113770,2011,12,4,Matched (3),Adult Bike,2011-12-01
201201,620318,267.3246,340,269.99,149.99,163.3859,400,109.99,288,01/01/2012,01/01/2012,112915,2012,1,1,Matched (3),Adult Bike,2012-01-01
201202,620318,276.2716,349,289.99,159.99,140.9521,400,109.99,289,01/02/2012,01/02/2012,109908,2012,2,1,Matched (3),Adult Bike,2012-02-01
201203,620318,273.0621,350,269.99,149.99,148.5416,419,99.99,290,01/03/2012,01/03/2012,112591,2012,3,1,Matched (3),Adult Bike,2012-03-01
201204,620318,271.4248,349.99,269.99,149.99,152.4559,425,99.99,291,01/04/2012,01/04/2012,111722,2012,4,2,Matched (3),Adult Bike,2012-04-01
