Local Authority June 2022 Crime rates per 1000,Total,Violent,Theft,Unemployed Claimants,Employed Claimants,Total Claimants,Ratio,Ratio percentage,Region
Amber Valley,64.47,27.65,13.72,4945,3566,8508,0.419134932,41.91,East Midlands
Ashfield,81.12,31.23,23.98,6537,4750,11280,0.421099291,42.11,East Midlands
Bassetlaw,89.17,29.13,34.09,5312,4307,9621,0.447666563,44.77,East Midlands
Blaby,64.67,23.85,20.32,2812,2524,5335,0.473102156,47.31,East Midlands
Bolsover,74.78,32.57,17.99,3951,2877,6825,0.421538462,42.15,East Midlands
Boston,82.33,33.32,23.45,3806,4281,8086,0.529433589,52.94,East Midlands
Charnwood,78.62,29.07,23.13,5992,4822,10811,0.446027195,44.60,East Midlands
Chesterfield,93.83,39.43,24.19,5417,3872,9298,0.416433642,41.64,East Midlands
Derby,120.87,51.87,27.79,16067,10643,26713,0.398420245,39.84,East Midlands
Derbyshire Dales,44.96,17.32,11.92,1531,1334,2864,0.465782123,46.58,East Midlands
East Lindsey,75.39,34.46,17.98,7492,5423,12911,0.420029432,42.00,East Midlands
Erewash,74.53,30.12,20.31,5481,3873,9356,0.413958957,41.40,East Midlands
Harborough,53.45,19.87,15.37,2231,1969,4202,0.468586387,46.86,East Midlands
High Peak,68.40,27.74,17.21,2986,2518,5508,0.457153232,45.72,East Midlands
Hinckley and Bosworth,64.14,25.28,16.68,3948,2952,6903,0.427640156,42.76,East Midlands
Leicester,136.40,54.07,32.82,24676,17954,42625,0.421208211,42.12,East Midlands
Lincoln,135.04,53.37,36.61,5926,4578,10512,0.435502283,43.55,East Midlands
Mansfield,97.18,37.35,26.82,6109,4707,10821,0.434987524,43.50,East Midlands
Melton,71.53,27.63,16.46,1698,1627,3321,0.489912677,48.99,East Midlands
Newark and Sherwood,65.44,23.71,20.72,5022,3880,8907,0.43561244,43.56,East Midlands
North East Derbyshire,53.86,23.88,11.85,3821,2593,6418,0.404019944,40.40,East Midlands
North Kesteven,40.23,17.29,10.78,3227,2881,6109,0.47159928,47.16,East Midlands
North West Leicestershire,76.86,30.05,20.74,3607,2870,6478,0.443037975,44.30,East Midlands
Nottingham,118.48,41.82,36.43,22902,14749,37650,0.391739708,39.17,East Midlands
Oadby and Wigston,68.47,28.91,17.67,1898,1550,3449,0.449405625,44.94,East Midlands
Rutland,45.43,18.18,12.25,853,877,1733,0.506058857,50.61,East Midlands
South Derbyshire,53.68,24.31,11.91,3404,3025,6432,0.470304726,47.03,East Midlands
