Date,year,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
01/01/1979,1979,25187,159950,78933,192505,1695108,195456,180033,56430,37980,681162,277235,66315,124879,38379,677290,248477,115981,112296,215743,341406,261166,47251,566015,178349,240471,71233,35060,245122,18106,62851,40614,426765,71835,61998,1095140,550481,136012,161045,410047,53599,148540,20393,175786,793097,75076,226656,26125,256349,207112,43669,21708
01/01/1980,1980,24849,190511,87046,221866,1843332,211087,182051,63668,40306,803825,302645,72180,138026,45126,711860,269252,126660,125039,229032,348231,277949,49077,616065,194918,266292,85822,39271,271174,19336,67330,43011,469996,77457,70860,1209984,584787,151650,174561,441793,56113,166686,22320,204456,870458,85782,245942,25506,284436,224619,49266,23384
01/01/1981,1981,27171,191834,87091,212657,1833787,217874,182823,67910,40002,816579,313453,64060,136638,43450,700548,248144,128676,129289,226773,336701,279425,48034,630640,193731,264250,89495,39750,268998,19681,65838,40409,457367,82282,72602,1214935,587007,149860,186267,436976,55709,168402,20640,198756,892723,87170,253440,26063,283974,225901,51091,25249
01/01/1982,1982,27211,182701,88697,203946,1801256,215584,171129,65692,38437,777577,294060,65448,120166,39403,668598,242338,119244,130854,231674,318171,256428,43731,618001,184110,244966,91137,34709,273458,17742,62660,36416,422191,89798,69608,1142202,532594,165917,173973,409670,51388,171718,18276,205278,962977,82891,233683,24210,266680,211524,48919,24116
01/01/1983,1983,28829,162361,81493,189382,1680978,208025,156204,57776,33124,724226,258241,59432,113849,38233,636486,226272,109847,127569,223080,288971,230564,42186,587443,167177,225136,82995,37945,254451,18193,60489,32187,385600,88783,59709,1042811,484121,162563,166398,380103,47802,155723,17833,187946,928858,82859,219868,21697,261343,202188,47533,20631
01/01/1984,1984,30576,155691,79103,198426,1657320,205652,145995,53524,30692,748699,262556,56982,110566,36753,610565,216039,105793,110145,228029,266037,226780,40776,594958,159884,215194,79495,38338,249322,17722,56153,30655,364890,88906,59771,989126,459441,161355,166956,364114,45926,153877,18444,183472,964128,78738,213241,21030,265363,198851,45596,18819
01/01/1985,1985,30619,158513,84571,226793,1718473,223555,149330,50075,30859,860889,305381,54814,113713,39276,612653,215234,107190,109812,249303,276999,235973,42739,578566,173348,219568,85333,37577,257792,18354,59335,32454,385239,94050,61538,993811,449882,179080,180830,360028,45723,162013,18697,198419,1075295,87470,215634,20801,287856,191798,43615,20437
01/01/1986,1986,33353,173807,93094,242850,1824669,229731,153989,52204,30584,960664,332999,60230,118336,42196,641765,212170,118683,115277,273572,275465,250008,40635,593644,183823,235773,87808,36682,274249,17691,61614,34200,399387,97997,60570,1025037,468647,198765,191037,368778,47799,173541,19229,217780,1235822,91215,223366,21515,307040,196031,44457,22091
01/01/1987,1987,28232,181751,101376,243405,1799871,212634,160413,52569,31806,1022335,360379,63008,117334,41480,627342,227864,121420,121873,262006,277165,248409,41928,594026,195986,240222,90263,37209,298196,19038,65857,35639,403662,98202,64160,1061021,493400,197159,189835,377563,52115,176794,18987,226516,1296519,94393,233768,23406,318436,200425,41558,19753
01/01/1988,1988,25248,188261,102199,258955,1869092,203267,165214,61471,31674,1106212,404965,65460,115533,39690,648873,231364,121363,116646,254624,293015,264923,43147,565847,185792,248971,94384,34307,317310,18087,66282,36573,408800,99755,68403,1129241,505034,182373,193479,382020,51784,189053,18454,219852,1345369,94333,250436,23577,328551,192959,42179,18685
01/01/1989,1989,25190,190573,109610,286604,1965652,200328,170695,62172,32743,1115617,455225,69727,115912,39860,657414,248327,125219,123630,273492,303692,261107,43792,553442,190801,264508,92136,32220,345225,16902,65916,39810,407643,100448,69679,1129638,516252,177405,173744,404594,52144,197348,19199,222972,1346866,96994,256814,23182,313932,202703,43878,18473
01/01/1990,1990,28342,198604,114408,289140,1965237,199434,177068,65389,35709,1139934,438161,67676,113871,40845,678416,259651,128664,121594,273736,318742,278782,45406,557232,198577,262024,99561,35975,363638,18668,66499,40435,421080,101269,72874,1144874,525373,176111,160478,413018,53712,210779,20249,246346,1329494,97512,274757,24429,302850,215000,44891,19099
01/01/1991,1991,32499,219400,122749,277711,2057513,205122,176531,64393,39912,1134813,430059,67764,115546,43594,707823,270279,138081,124692,273170,319128,301768,46531,575013,199274,279340,109402,29477,396723,17741,69361,38098,421469,103396,80876,1127651,550560,179982,168165,425638,50595,219980,21647,265811,1356527,99255,289619,22426,316339,221283,47968,20189
01/01/1992,1992,32693,217889,114233,269335,2061761,206770,165787,67187,33406,1127360,432430,70899,111275,42639,670564,265375,134222,124799,280647,300071,305503,43516,529472,205664,264694,111944,37872,397047,18465,69444,34225,394463,101723,82324,1061489,513952,174464,173289,407431,46009,212327,21322,258021,1246148,102589,274118,19437,317035,216254,47288,21320
01/01/1993,1993,33352,204274,116612,292513,2015265,197085,152392,67979,34105,1142338,428367,73566,108239,42258,657129,255090,125924,123509,294061,294224,303187,39077,516788,199333,266694,116775,40188,392555,17909,68796,32681,378257,101260,85842,1010176,497465,171058,174812,394136,44990,215060,21151,267164,1161031,97415,267135,22881,312793,204244,46093,19566
01/01/1994,1994,34591,206859,117713,322926,1940497,194440,148946,63186,34520,1151121,424029,78763,103389,46192,661150,264180,123791,127716,287857,268281,306496,40582,517076,198253,280138,129101,42961,397705,17455,72068,31165,368400,102346,97290,921278,495310,181475,194307,394326,41067,219870,22367,264952,1079225,101142,265200,18852,322051,200452,46067,20419
01/01/1995,1995,34753,206188,116521,346450,1841984,202199,147481,67441,36988,1090999,432322,85447,116575,51189,645408,268768,125350,129377,289873,263710,317382,40763,494903,207327,272617,121755,41737,405764,18373,74393,30484,373708,108312,100664,827025,491223,183463,206173,406209,42021,222723,22312,281864,1064336,118832,264005,20087,340513,199064,44935,20737
01/01/1996,1996,33084,205962,117951,312927,1660131,195681,138414,64599,35488,1079623,463952,77961,104067,47709,630259,262742,120414,122979,297556,233758,307461,42189,490971,207891,272450,122842,39499,404684,17189,73292,32809,346116,113097,96052,751456,497831,186602,192132,428756,39536,229861,21740,289904,1092002,119717,264882,17687,326968,197182,45346,20462
01/01/1997,1997,32110,211188,119052,327734,1569949,181041,130286,52049,42331,1065609,433563,71492,108827,47495,611589,261902,133704,122205,280671,224848,287969,38896,480579,206833,260081,126452,38753,407743,17380,70982,30963,326711,119483,101702,709328,504505,182258,203328,412463,36069,230637,23948,295873,1065357,123447,261022,16658,332466,190133,44839,20068
01/01/1998,1998,29331,200065,108713,306985,1418674,178197,123971,46210,39902,1027123,417479,63623,100188,45653,585206,245952,128086,122630,266435,211203,275527,37827,459720,191197,262506,120647,38361,401615,17105,73259,28675,296530,116711,92250,652202,485066,167479,185323,392788,34756,221607,19366,273420,1010062,115624,248576,18552,333799,185093,46130,18315
