State,% Poverty Rate,Crime Rate 2020,Violent Crime Rate,Property Crime Rate,Bachelors Degree or Higher,Police Spending,Correction,Housing and Community Development,Cash Assistance Payments,Education,Population,Police Spending per 100000,Correction per 100000,Housing and Community Development per 100000,Cash Assistance Payments per 100000,Education per 100000
Alabama,14.6,4727.065,453.558,4273.507,27.4,1453284,886720,594544,129420,15229269,5024279,28925.22,17648.70,11833.42,2575.89,303113.52
Alaska,11.7,5358.896,837.849,4521.047,32.8,405927,347578,237396,137457,3085915,733391,55349.33,47393.27,32369.64,18742.66,420773.50
Arizona,11.2,4940.118,484.814,4455.304,32.4,2916902,1847348,553856,294848,19621970,7151502,40787.26,25831.61,7744.61,4122.88,274375.51
Arkansas,15.1,5898.753,671.93,5226.822,25.3,736615,537521,305599,3950,8880982,3011524,24459.87,17848.80,10147.65,131.16,294899.92
California,11,4719.9,442.049,4277.852,36.2,22281769,16481140,9763021,7673903,159811981,39538223,56355.01,41684.07,24692.61,19408.82,404196.16
Colorado,8.9,6090.756,423.058,5667.698,44.4,2316578,1504750,1333531,95220,19966086,5773714,40122.84,26062.08,23096.59,1649.20,345810.10
Connecticut,9.2,3311.746,181.585,3130.161,42.1,1293359,716415,717405,153368,14090364,3605944,35867.42,19867.61,19895.07,4253.20,390753.82
Delaware,9.6,4354.642,431.897,3922.745,35.6,390875,362801,176329,36051,4456420,989948,39484.40,36648.49,17811.95,3641.71,450167.08
District of Columbia,14.5,7985.932,999.837,6986.095,63,681236,262352,1076575,887938,3317520,689545,98795.00,38047.12,156128.32,128771.58,481117.26
Florida,12.5,3922.458,383.595,3538.862,33.2,10100205,5011464,2606696,153467,49591082,21538187,46894.41,23267.81,12102.67,712.53,230247.24
Georgia,13.1,4414.802,400.093,4014.709,34.6,3042143,2175003,1107242,84648,31891860,10711908,28399.64,20304.53,10336.55,790.22,297723.43
Hawaii,10.1,5076.88,254.157,4822.723,35.3,543158,234183,373017,32190,3718284,1455271,37323.50,16092.05,25632.13,2211.96,255504.58
Idaho,8.5,2466.346,242.595,2223.751,30.7,540049,488498,235801,70931,4214551,1839106,29364.76,26561.71,12821.50,3856.82,229163.03
Illinois,9.3,3544.667,425.914,3118.753,37.1,5678179,2346385,2153539,155935,41015221,12812508,44317.47,18313.24,16808.10,1217.05,320118.60
Indiana,10.9,3924.039,357.678,3566.361,28.9,1599637,1140257,904457,340847,20061630,6785528,23574.25,16804.25,13329.21,5023.15,295653.19
Iowa,9.5,3699.976,303.487,3396.489,30.5,915310,475947,279743,251301,11630927,3190369,28689.78,14918.24,8768.36,7876.86,364563.69
