Date,year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
01/01/1979,1979,23193,144372,70949,177977,1511021,180984,167131,45877,34853,607281,248641,63664,119620,35766,593750,230223,107605,103548,188514,310756,228159,45030,509457,169376,214809,63447,33298,220113,17703,59295,39373,390018,64563,56132,933234,501389,124293,147264,370914,50114,128651,19297,157651,725109,70918,211014,25217,239285,199273,40513,20129
01/01/1980,1980,22930,173191,79390,204193,1633042,195872,169283,50896,37482,709730,272652,69291,132200,42169,620107,248619,117492,115328,201106,313787,242214,46904,557051,185668,239115,77234,37531,244585,18984,63818,41358,425623,69490,63556,1029749,531141,139061,161759,398761,52249,146461,21447,183632,792480,81357,229587,24592,265338,216073,45719,21543
01/01/1981,1981,24634,173411,79972,196575,1625302,202119,168790,53442,36958,718470,282926,61636,130723,40733,609767,229472,119880,118690,199295,300428,241625,45820,571582,184387,237575,81789,37746,243012,19237,62977,39034,410693,73369,65027,1026757,533498,136637,173596,392872,51504,148127,19922,179737,814163,82643,235984,25404,265135,216997,47681,23133
01/01/1982,1982,24479,165048,81259,189161,1599827,200230,158532,52295,35067,684166,267097,62906,115148,36902,579954,225894,111156,119304,202489,285140,220174,41884,558195,175048,219888,83622,32908,246593,17328,59019,35229,377016,79816,62512,967369,485468,151814,161444,366903,47539,148657,17592,185692,874799,78451,216713,23555,249429,202447,45514,22589
01/01/1983,1983,25889,145890,74563,174740,1486487,193070,144437,45843,30378,635934,232062,56853,108587,35872,552857,210725,101928,115602,194636,255707,195828,40357,522450,159268,201418,75740,36208,229540,17828,57012,30987,344296,79175,53871,881322,441362,148599,153412,339321,44410,135590,16993,169110,848312,78715,203632,21001,245357,193118,44158,19412
01/01/1984,1984,27468,138487,71554,182670,1461731,191104,133573,42799,28021,653429,234621,54573,104785,34398,527124,199258,97646,99803,197778,235675,192325,38944,525979,151082,192123,72169,36380,224437,17354,52526,29347,325231,79108,54045,826969,418011,147917,153423,325960,42706,133270,17403,162462,883391,74703,196581,20261,247687,189484,42313,17582
01/01/1985,1985,27588,140115,76372,207591,1516710,208336,136572,39904,28164,753918,275070,52501,107607,36916,530205,198220,98474,98428,218195,245665,199318,40789,511852,162597,194247,78254,35855,231465,18032,55514,31049,344067,83843,55294,828446,408882,165150,166023,320788,42368,140892,17730,175827,985265,83072,198821,20011,269099,181918,40401,19130
01/01/1986,1986,30307,151191,83729,221015,1576299,212626,140411,42781,27881,839651,297130,57626,111633,39964,548311,195233,109607,102810,239444,242989,212831,38909,520127,171832,206463,80612,35393,244121,17343,57418,32767,355764,87266,53647,849827,423387,184342,176207,326149,44528,150752,18346,191861,1125897,86774,205658,20708,287535,183692,41301,20605
01/01/1987,1987,25841,158918,91537,222663,1545928,197225,146958,42553,29032,899167,324511,60157,110781,39342,535126,209695,112488,109284,231090,244105,213589,40122,522254,183868,212430,83182,35986,267157,18656,61853,34058,362155,88775,57154,881330,447964,183495,175138,333476,48568,154021,18138,200616,1190558,90532,216354,22658,298491,188411,38953,18366
01/01/1988,1988,22566,165209,91962,237808,1607180,187719,150455,49557,28693,967869,362376,62650,108254,37345,555316,210177,112280,104362,222913,256639,227457,41249,496867,173302,220578,85840,33318,284557,17695,61908,34951,363807,89817,60128,932845,455890,168194,178520,338486,47837,163164,17641,193647,1235870,90223,232496,22786,307008,182545,39703,17206
01/01/1989,1989,22567,166244,98213,265284,1681516,184692,154119,49235,28998,975042,407868,66723,108349,37278,558803,225592,115146,110328,239235,263780,220955,42116,487682,178252,231874,83980,31285,309323,16485,61413,37945,360532,89693,62732,926596,465143,161558,159119,359008,48372,168772,18230,195854,1234977,92577,237757,22429,291472,191869,41154,17246
01/01/1990,1990,25457,169974,101897,265229,1654186,182106,158867,50470,31344,978944,389165,64563,105550,38069,567841,233376,117571,107208,235822,274442,234842,43647,483764,185185,225422,90803,34702,322306,18196,61290,38976,371023,89448,65652,932416,470469,158889,146073,361805,49378,176729,19116,213648,1200151,92620,253063,23713,278440,202052,41855,17732
01/01/1991,1991,29000,184882,108677,252559,1726391,186235,158770,49722,35055,977570,381165,65020,107069,40578,587868,241930,125616,108430,232732,274990,255299,44900,499781,185268,239982,99317,28347,352368,17326,64031,36780,372212,90474,72183,917467,489100,161449,153370,371814,45957,185359,20366,229856,1210784,94178,266160,21764,290115,207560,44528,18762
01/01/1992,1992,28816,181837,100402,243629,1716137,186684,149535,50502,29126,964533,382934,67901,103459,39636,556900,236584,121334,104692,238438,253344,256418,41900,456800,190520,226246,101181,36472,350447,17935,63846,32828,345718,86942,73077,858178,456017,154459,158100,356155,42044,178298,19939,220534,1103779,97322,250211,18813,289581,202448,43455,19831
01/01/1993,1993,28795,171598,102231,264371,1678884,176856,137443,51091,29304,977363,378348,70505,99080,39161,544869,227149,113360,105979,248461,245831,253647,37519,441767,183347,227731,105308,38699,345377,17387,62725,31131,328867,86236,73685,814824,441550,150546,159558,343841,40973,177779,19661,228117,1023612,91816,242975,22223,285753,190923,42300,18221
01/01/1994,1994,29947,178015,103115,294273,1622102,175808,134030,48009,29971,991105,376926,75672,94475,42954,548222,233975,112477,110725,245488,225532,259039,38971,444325,181856,240898,115924,41445,351397,16933,65746,29837,319856,87638,82693,745845,441380,160250,178240,342901,37323,182114,20726,226247,949387,95332,241763,18290,294734,186704,42136,19122
01/01/1995,1995,30097,179294,102780,316355,1536830,185705,134188,52697,31790,939288,385005,81938,106504,47444,527572,238317,114558,115298,246132,221971,267625,39132,429223,190911,237278,108195,40246,359256,17817,68140,29170,326056,94508,86203,674342,437424,161693,189765,354623,38378,186656,20799,241315,940033,112417,240084,19395,314213,184665,41093,19517
01/01/1996,1996,28667,181803,104790,284964,1385135,180218,124924,51188,30643,928273,416986,74639,96296,44532,524777,231376,109772,110531,257130,194636,260231,40636,430020,192109,240781,109581,38084,361616,16648,66110,31436,303657,98698,83047,619250,449935,166892,177295,370851,36099,192986,20443,248729,968732,113079,242100,16973,303111,184143,41510,19261
01/01/1997,1997,27840,186809,105759,299323,1312367,166902,117505,41341,36578,915613,388155,68193,99986,44388,509113,231723,122553,109819,243423,185437,244842,37396,422916,191006,228889,113644,37592,362672,16821,63717,29635,287038,104721,88307,584438,455799,163698,188916,359323,32777,193402,22491,253484,948231,116569,237773,15953,307742,176145,40868,18843
01/01/1998,1998,25316,177779,96271,280001,1188791,163189,111978,37222,34230,887107,373717,60677,91272,42185,487915,220529,117114,109721,232378,173011,234624,36261,398773,176541,232284,109345,36564,357892,16535,65752,27405,260810,100011,81006,536287,444438,149426,171545,342318,31672,186960,18227,234588,898496,109025,226461,17924,309419,172084,41627,17124
01/01/1999,1999,23099,171398,92283,255401,1053285,151002,99894,33420,30922,808674,359383,54539,84463,36363,463939,201547,107644,104768,219219,167437,215973,34618,369887,158717,223010,108560,29103,354497,14748,61277,26247,243333,89220,73874,489596,414264,140220,153434,323021,32657,173987,18159,219302,896261,100130,210260,16059,280793,160154,42825,15468
01/01/2000,2000,23087,180539,98115,271811,1056183,156937,99033,33000,29727,780377,347630,60033,86834,37961,445278,206905,108057,107723,211904,161901,213422,32003,353297,157798,225919,103644,32198,355921,14171,64479,27901,233637,86605,74823,483078,420939,140125,153780,316274,33323,181290,16252,237985,919658,94247,194405,17494,279144,159424,41344,14969
01/01/2001,2001,23160,173253,99106,293874,1134189,170887,95299,35232,27399,782517,347872,62830,88634,38181,434648,211548,105537,107356,207693,167079,219512,33154,352353,165046,238411,109609,30175,363777,14834,68963,27089,240551,83095,77486,458003,435115,141679,164524,313408,35742,186054,16473,252992,976654,90993,207506,16334,287234,166924,41085,16120
01/01/2002,2002,24118,180400,101171,318296,1176484,180054,93426,36477,26967,777236,346559,71976,92877,39128,430479,208965,100768,108590,198838,167753,217105,32985,335060,164026,230520,109584,28751,353708,14762,68178,26250,227715,80477,83896,442091,428976,148128,161145,300868,35342,183808,15992,249399,1004274,97641,207783,14942,288967,164749,41099,16494
01/01/2003,2003,24386,182241,99084,314335,1215086,179706,92981,32696,27943,757696,369589,65867,87554,40042,415885,208039,109276,103370,193698,164543,209418,32078,330565,157663,233564,106867,28428,359660,13364,65189,26456,220350,76816,96128,432079,417483,151208,169863,300639,32231,187592,15324,256565,1016735,100084,200449,13803,291542,157684,42370,16648
01/01/2004,2004,22172,182340,110911,291203,1227194,180322,93942,26896,27256,727141,376656,60525,85775,38799,403486,211929,109771,105209,199153,158150,202474,31740,309805,155019,224629,100980,27215,355328,12493,61512,26658,211313,79895,98215,422734,419337,149472,166475,299611,31166,190456,14885,254991,1010702,97762,200368,14559,300837,146710,46326,16889
01/01/2005,2005,23975,177393,112914,287345,1200531,188449,90270,26133,26245,712998,378534,61115,84370,38556,394670,216778,104588,105608,166611,151727,198483,31889,312892,158301,227809,95231,29407,353855,12848,60348,24031,203391,79575,102424,405990,420705,143406,160199,300444,29287,185606,13694,256093,990293,95546,200404,14749,307661,147556,47757,16070
01/01/2006,2006,23975,181249,112025,294389,1159988,163439,90638,27064,29670,721101,362712,54247,84202,35135,387478,217783,104260,109428,174975,153943,195484,33658,325594,159276,224007,92853,26986,364549,13359,59411,26060,198820,76000,102338,398577,423334,129728,137858,304589,27914,184712,13812,249860,959846,89572,190257,14920,288456,156748,47941,15381
01/01/2007,2007,23096,184082,112130,287308,1112510,145808,86528,28922,29216,746249,371248,52866,79133,34124,377322,213887,102961,107987,180516,154743,192796,32249,308550,158257,225113,90887,27837,369893,12796,55765,26394,192338,75168,97118,383624,397681,128714,132773,293850,27576,189304,13829,252342,985421,93082,191763,14702,261776,159305,45620,15053
