Date,year,value
01/01/1979,1979,null
01/01/1980,1980,null
01/01/1981,1981,null
01/01/1982,1982,null
01/01/1983,1983,null
01/01/1984,1984,null
01/01/1985,1985,null
01/01/1986,1986,null
01/01/1987,1987,null
01/01/1988,1988,null
01/01/1989,1989,null
01/01/1990,1990,null
01/01/1991,1991,null
01/01/1992,1992,null
01/01/1993,1993,null
01/01/1994,1994,348000
01/01/1995,1995,null
01/01/1996,1996,null
01/01/1997,1997,null
01/01/1998,1998,null
01/01/1999,1999,null
01/01/2000,2000,null
01/01/2001,2001,null
01/01/2002,2002,null
01/01/2003,2003,null
01/01/2004,2004,null
01/01/2005,2005,null
01/01/2006,2006,null
01/01/2007,2007,null
01/01/2008,2008,null
01/01/2009,2009,null
01/01/2010,2010,null
01/01/2011,2011,null
01/01/2012,2012,null
01/01/2013,2013,null
01/01/2014,2014,null
01/01/2015,2015,null
01/01/2016,2016,null
01/01/2017,2017,null
01/01/2018,2018,null
01/01/2019,2019,null
01/01/2020,2020,null
