Symbol,Date,Value
Private,2016-01-01,2.4
Private,2016-02-01,2.2
Private,2016-03-01,2.5
Private,2016-04-01,2.3
Private,2016-05-01,2.7
Private,2016-06-01,2.6
Private,2016-07-01,2.6
Private,2016-08-01,2.5
Private,2016-09-01,2.6
Private,2016-10-01,2.7
Private,2016-11-01,3.0
Private,2016-12-01,2.7
Private,2017-01-01,2.3
Private,2017-02-01,2.3
Private,2017-03-01,2.4
Private,2017-04-01,2.5
Private,2017-05-01,2.1
Private,2017-06-01,2.5
Private,2017-07-01,2.3
Private,2017-08-01,2.5
Private,2017-09-01,2.4
Private,2017-10-01,2.7
Private,2017-11-01,2.6
Private,2017-12-01,2.7
Private,2018-01-01,2.8
Private,2018-02-01,2.9
Private,2018-03-01,2.9
Private,2018-04-01,2.8
Private,2018-05-01,2.8
Private,2018-06-01,2.2
Private,2018-07-01,2.6
Private,2018-08-01,2.9
Private,2018-09-01,3.2
Private,2018-10-01,3.5
Private,2018-11-01,3.5
Private,2018-12-01,3.6
Private,2019-01-01,3.5
Private,2019-02-01,3.7
Private,2019-03-01,3.4
Private,2019-04-01,3.4
Private,2019-05-01,3.4
Private,2019-06-01,3.9
Private,2019-07-01,3.9
Private,2019-08-01,3.9
Private,2019-09-01,3.9
Private,2019-10-01,3.3
Private,2019-11-01,3.1
Private,2019-12-01,2.6
Private,2020-01-01,2.9
Private,2020-02-01,2.7
Private,2020-03-01,2.3
Private,2020-04-01,0.6
Private,2020-05-01,-1.2
Private,2020-06-01,-2.5
Private,2020-07-01,-2.1
Private,2020-08-01,-0.7
Private,2020-09-01,0.9
Private,2020-10-01,2.4
Private,2020-11-01,3.6
Private,2020-12-01,4.5
Private,2021-01-01,4.7
Private,2021-02-01,4.3
Private,2021-03-01,3.8
Private,2021-04-01,5.7
Private,2021-05-01,8.1
Private,2021-06-01,10.5
Private,2021-07-01,9.8
Private,2021-08-01,8.2
Private,2021-09-01,6.6
Private,2021-10-01,5.5
Private,2021-11-01,4.6
Private,2021-12-01,5.1
Private,2022-01-01,5.5
Private,2022-02-01,6.5
Private,2022-03-01,8.1
Private,2022-04-01,8.0
Private,2022-05-01,7.4
Private,2022-06-01,6.0
Private,2022-07-01,6.3
Private,2022-08-01,6.8
Public,2016-01-01,1.4
Public,2016-02-01,1.3
Public,2016-03-01,1.5
Public,2016-04-01,1.6
Public,2016-05-01,1.6
Public,2016-06-01,1.8
Public,2016-07-01,1.6
Public,2016-08-01,1.8
Public,2016-09-01,1.5
Public,2016-10-01,1.5
Public,2016-11-01,1.3
Public,2016-12-01,1.5
Public,2017-01-01,1.4
Public,2017-02-01,1.3
Public,2017-03-01,1.2
Public,2017-04-01,1.1
Public,2017-05-01,1.4
Public,2017-06-01,1.3
Public,2017-07-01,1.6
Public,2017-08-01,1.5
Public,2017-09-01,1.7
Public,2017-10-01,1.9
Public,2017-11-01,1.9
Public,2017-12-01,2.0
Public,2018-01-01,2.0
Public,2018-02-01,2.3
Public,2018-03-01,2.4
Public,2018-04-01,2.4
Public,2018-05-01,2.1
Public,2018-06-01,2.2
Public,2018-07-01,2.4
Public,2018-08-01,2.8
Public,2018-09-01,2.8
Public,2018-10-01,2.7
Public,2018-11-01,2.7
Public,2018-12-01,2.8
Public,2019-01-01,2.8
Public,2019-02-01,2.6
Public,2019-03-01,2.5
Public,2019-04-01,3.1
Public,2019-05-01,3.6
Public,2019-06-01,4.0
Public,2019-07-01,3.8
Public,2019-08-01,3.5
Public,2019-09-01,3.3
Public,2019-10-01,3.1
Public,2019-11-01,3.3
Public,2019-12-01,3.3
Public,2020-01-01,3.2
Public,2020-02-01,3.3
Public,2020-03-01,3.3
Public,2020-04-01,3.3
Public,2020-05-01,3.7
Public,2020-06-01,4.1
Public,2020-07-01,4.1
Public,2020-08-01,3.8
Public,2020-09-01,3.8
Public,2020-10-01,4.1
Public,2020-11-01,4.4
Public,2020-12-01,4.4
Public,2021-01-01,4.8
Public,2021-02-01,5.1
Public,2021-03-01,5.4
Public,2021-04-01,4.9
Public,2021-05-01,4.0
Public,2021-06-01,2.9
Public,2021-07-01,2.6
Public,2021-08-01,2.6
Public,2021-09-01,2.7
Public,2021-10-01,2.7
Public,2021-11-01,2.5
Public,2021-12-01,2.6
Public,2022-01-01,2.3
Public,2022-02-01,1.9
Public,2022-03-01,1.6
Public,2022-04-01,1.5
Public,2022-05-01,1.5
Public,2022-06-01,1.8
Public,2022-07-01,2.0
Public,2022-08-01,2.4
House,2016-01-01,7.76
House,2016-02-01,7.72
House,2016-03-01,8.42
House,2016-04-01,7.88
House,2016-05-01,7.97
House,2016-06-01,8.17
House,2016-07-01,7.49
House,2016-08-01,6.52
House,2016-09-01,6.14
House,2016-10-01,5.65
House,2016-11-01,5.33
House,2016-12-01,5.16
House,2017-01-01,4.76
House,2017-02-01,4.93
House,2017-03-01,3.64
House,2017-04-01,4.89
House,2017-05-01,4.31
House,2017-06-01,4.2
House,2017-07-01,4.46
House,2017-08-01,4.92
House,2017-09-01,4.69
House,2017-10-01,5.13
House,2017-11-01,4.34
House,2017-12-01,4.56
House,2018-01-01,4.32
House,2018-02-01,4.37
House,2018-03-01,3.97
House,2018-04-01,3.32
House,2018-05-01,3.13
House,2018-06-01,2.94
House,2018-07-01,2.88
House,2018-08-01,2.73
House,2018-09-01,2.92
House,2018-10-01,2.72
House,2018-11-01,2.57
House,2018-12-01,1.95
House,2019-01-01,1.68
House,2019-02-01,1.16
House,2019-03-01,1.49
House,2019-04-01,1.26
House,2019-05-01,0.98
House,2019-06-01,0.74
House,2019-07-01,0.62
House,2019-08-01,0.63
House,2019-09-01,0.9
House,2019-10-01,0.74
House,2019-11-01,0.81
House,2019-12-01,0.9
House,2020-01-01,1.59
House,2020-02-01,1.26
House,2020-03-01,2.46
House,2020-04-01,0.69
House,2020-05-01,1.07
House,2020-06-01,2.02
House,2020-07-01,1.75
House,2020-08-01,2.41
House,2020-09-01,3.43
House,2020-10-01,4.58
House,2020-11-01,6.02
House,2020-12-01,6.99
House,2021-01-01,7.65
House,2021-02-01,8.23
House,2021-03-01,8.95
House,2021-04-01,8.64
House,2021-05-01,8.54
House,2021-06-01,13.2
House,2021-07-01,6.88
House,2021-08-01,8.97
House,2021-09-01,11.37
House,2021-10-01,8.25
House,2021-11-01,8.99
House,2021-12-01,8.4
House,2022-01-01,9.77
House,2022-02-01,9.93
House,2022-03-01,8.78
House,2022-04-01,11.6
House,2022-05-01,12.4
House,2022-06-01,7.53
House,2022-07-01,15.19
House,2022-08-01,13.12
