Date,year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
01/01/1979,1979,1994,15578,7984,14528,184087,14472,12902,10553,3127,73881,28594,2651,5259,2613,83540,18254,8376,8748,27229,30650,33007,2221,56558,8973,25662,7786,1762,25009,403,3556,1241,36747,7272,5866,161906,49092,11719,13781,39133,3485,19889,1096,18135,67988,4158,15642,908,17064,7839,3156,1579
01/01/1980,1980,1919,17320,7656,17673,210290,15215,12768,12772,2824,94095,29993,2889,5826,2957,91753,20633,9168,9711,27926,34444,35735,2173,59014,9250,27177,8588,1740,26589,352,3512,1653,44373,7967,7304,180235,53646,12589,12802,43032,3864,20225,873,20824,77978,4425,16355,914,19098,8546,3547,1841
01/01/1981,1981,2537,18423,7119,16082,208485,15755,14033,14468,3044,98109,30527,2424,5915,2717,90781,18672,8796,10599,27478,36273,37800,2214,59058,9344,26675,7706,2004,25986,444,2861,1375,46674,8913,7575,188178,53509,13223,12671,44104,4205,20275,718,19019,78560,4527,17456,659,18839,8904,3410,2116
01/01/1982,1982,2732,17653,7438,14785,201429,15354,12597,13397,3370,93411,26963,2542,5018,2501,88644,16444,8088,11550,29185,33031,36254,1847,59806,9062,25078,7515,1801,26865,414,3641,1187,45175,9982,7096,174833,47126,14103,12529,42767,3849,23061,684,19586,88178,4440,16970,655,17251,9077,3405,1527
01/01/1983,1983,2940,16471,6930,14642,194491,14955,11767,11933,2746,88292,26179,2579,5262,2361,83629,15547,7919,11967,28444,33264,34736,1829,64993,7909,23718,7255,1737,24911,365,3477,1200,41304,9608,5838,161489,42759,13964,12986,40782,3392,20133,840,18836,80546,4144,16236,696,15986,9070,3375,1219
01/01/1984,1984,3108,17204,7549,15756,195589,14548,12422,10725,2671,95270,27935,2409,5781,2355,83441,16781,8147,10342,30251,30362,34455,1832,68979,8802,23071,7326,1958,24885,368,3627,1308,39659,9798,5726,162157,41430,13438,13533,38154,3220,20607,1041,21010,80737,4035,16660,769,17676,9367,3283,1237
01/01/1985,1985,3031,18398,8199,19202,201763,15219,12758,10171,2695,106971,30311,2313,6106,2360,82448,17014,8716,11384,31108,31334,36655,1950,66714,10751,25321,7079,1722,26327,322,3821,1405,41172,10207,6244,165365,41000,13930,14807,39240,3355,21121,967,22592,90030,4398,16813,790,18757,9880,3214,1307
01/01/1986,1986,3046,22616,9365,21835,248370,17105,13578,9423,2703,121013,35869,2604,6703,2232,93454,16937,9076,12467,34128,32476,37177,1726,73517,11991,29310,7196,1289,30128,348,4196,1433,43623,10731,6923,175210,45260,14423,14830,42629,3271,22789,883,25919,109925,4441,17708,807,19505,12339,3156,1486
01/01/1987,1987,2391,22833,9839,20742,253943,15409,13455,10016,2774,123168,35868,2851,6553,2138,92216,18169,8932,12589,30916,33060,34820,1806,71772,12118,27792,7081,1223,31039,382,4004,1581,41507,9427,7006,179691,45436,13664,14697,44087,3547,22773,849,25900,105961,3861,17414,748,19945,12014,2605,1387
01/01/1988,1988,2682,23052,10237,21147,261912,15548,14759,11914,2981,138343,42589,2810,7279,2345,93557,21187,9083,12284,31711,36376,37466,1898,68980,12490,28393,8544,989,32753,392,4374,1622,44993,9938,8275,196396,49144,14179,14959,43534,3947,25889,813,26205,109499,4110,17940,791,21543,10414,2476,1479
01/01/1989,1989,2623,24329,11397,21320,284136,15636,16576,12937,3745,140575,47357,3004,7563,2582,98611,22735,10073,13302,34257,39912,40152,1676,65760,12549,32634,8156,935,35902,417,4503,1865,47111,10755,6947,203042,51109,15847,14625,45586,3772,28576,969,27118,111889,4417,19057,753,22460,10834,2724,1227
01/01/1990,1990,2885,28630,12511,23911,311051,17328,18201,14919,4365,160990,48996,3113,8321,2776,110575,26275,11093,14386,37914,44300,43940,1759,73468,13392,36602,8758,1273,41332,472,5209,1459,50057,11821,7222,212458,54904,17222,14405,51213,4334,34050,1133,32698,129343,4892,21694,716,24410,12948,3036,1367
01/01/1991,1991,3499,34518,14072,25152,331122,18887,17761,14671,4857,157243,48894,2744,8477,3016,119955,28349,12465,16262,40438,44138,46469,1631,75232,14006,39358,10085,1130,44355,415,5330,1318,49257,12922,8693,210184,61460,18533,14795,53824,4638,34621,1281,35955,145743,5077,23459,662,26224,13723,3440,1427
01/01/1992,1992,3877,36052,13831,25706,345624,20086,16252,16685,4280,162827,49496,2998,7816,3003,113664,28791,12888,20107,42209,46727,49085,1616,72672,15144,38448,10763,1400,46600,530,5598,1397,48745,14781,9247,203311,57935,20005,15189,51276,3965,34029,1383,37487,142369,5267,23907,624,27454,13806,3833,1489
